field,field_count,title,n
Sales / Marketing +,52,In-direct Sales,1
Sales / Marketing +,52,IP & Capacity Sales,1
Sales / Marketing +,52,Products Manager,1
Sales / Marketing +,52,Area Sales,2
Sales / Marketing +,52,Area Sales,1
Sales / Marketing +,52,Dealer Manager,1
Sales / Marketing +,52,Campaign Management and Capabilities,1
Sales / Marketing +,52,Marketing Discerning Professionals,1
Sales / Marketing +,52,National Account Manager,1
Sales / Marketing +,52,Product Manager,1
Sales / Marketing +,52,Regional Account Manager,1
Sales / Marketing +,52,Relationship Executive,1
Sales / Marketing +,52,Retail Sales,2
Sales / Marketing +,52,Sales Executive,1
Sales / Marketing +,52,Regional Sales,2
Sales / Marketing +,52,Consumer Segment Lead,1
Sales / Marketing +,52,Indirect Channel,1
Sales / Marketing +,52, Revenue Assurance,1
Sales / Marketing +,52,Regional Sales,2
Sales / Marketing +,52,Account Manager,1
Sales / Marketing +,52,Solution Sales Manager,1
Sales / Marketing +,52,Solutions Sales Manager,1
Sales / Marketing +,52,Strategic Buyer,1
Sales / Marketing +,52,Business Development,1
Sales / Marketing +,52,Strategic Sales Marketing Developer,1
Sales / Marketing +,52,Territory Account,1
Sales / Marketing +,52,Territory Account Manager,2
Sales / Marketing +,52,Regional Sales,1
Sales / Marketing +,52,Territory Account,1
Sales / Marketing +,52,Vendor Experience Analyst,1
Sales / Marketing +,52,Vendor Experience,1
Administration / Secretarial +,28,Administrator,1
Administration / Secretarial +,28,Assistant,1
Administration / Secretarial +,28,Assurance Analyst,1
Administration / Secretarial +,28,Departmental Administrator,1
Administration / Secretarial +,28,Executive Assistant,1
Administration / Secretarial +,28,Manager,1
Administration / Secretarial +,28,Acquisition & Distribution Manager,1
Administration / Secretarial +,28,Consumer Business Performance,1
Administration / Secretarial +,28,Cyber Risk,1
Administration / Secretarial +,28,Government Relations,1
Administration / Secretarial +,28,Merchant Onboarding,1
Administration / Secretarial +,28,Monitoring & Evaluation,1
Administration / Secretarial +,28,Business Improvement Systems,1
Administration / Secretarial +,28,Compliance and Controls,1
Administration / Secretarial +,28,Principal Strategic Buyer,1
